"Label (Grouping)","Bayonne city, Hudson County, New Jersey!!Estimate","Bayonne city, Hudson County, New Jersey!!Margin of Error","East Newark borough, Hudson County, New Jersey!!Estimate","East Newark borough, Hudson County, New Jersey!!Margin of Error","Guttenberg town, Hudson County, New Jersey!!Estimate","Guttenberg town, Hudson County, New Jersey!!Margin of Error","Harrison town, Hudson County, New Jersey!!Estimate","Harrison town, Hudson County, New Jersey!!Margin of Error","Hoboken city, Hudson County, New Jersey!!Estimate","Hoboken city, Hudson County, New Jersey!!Margin of Error","Jersey City city, Hudson County, New Jersey!!Estimate","Jersey City city, Hudson County, New Jersey!!Margin of Error","Kearny town, Hudson County, New Jersey!!Estimate","Kearny town, Hudson County, New Jersey!!Margin of Error","North Bergen township, Hudson County, New Jersey!!Estimate","North Bergen township, Hudson County, New Jersey!!Margin of Error","Secaucus town, Hudson County, New Jersey!!Estimate","Secaucus town, Hudson County, New Jersey!!Margin of Error","Union City city, Hudson County, New Jersey!!Estimate","Union City city, Hudson County, New Jersey!!Margin of Error","Weehawken township, Hudson County, New Jersey!!Estimate","Weehawken township, Hudson County, New Jersey!!Margin of Error","West New York town, Hudson County, New Jersey!!Estimate","West New York town, Hudson County, New Jersey!!Margin of Error"
"        3 vehicles available","190","±98","0","±14","0","±21","12","±16","67","±43","353","±135","197","±114","81","±89","94","±75","110","±66","113","±75","55","±52"
"        4 or more vehicles available","34","±31","0","±14","0","±21","0","±21","0","±32","6","±12","5","±8","54","±61","38","±41","0","±32","0","±21","14","±21"
"    3-person household:","5,700","±677","182","±106","794","±311","1,523","±327","4,255","±478","20,919","±1,200","3,142","±410","3,933","±527","1,479","±301","4,499","±582","1,115","±241","3,707","±432"
"        No vehicle available","666","±180","30","±34","267","±244","443","±291","947","±216","6,466","±796","380","±176","486","±202","91","±73","1,507","±340","291","±201","1,153","±302"
"        1 vehicle available","2,267","±422","110","±100","260","±135","557","±177","2,780","±457","9,141","±850","1,088","±232","1,584","±341","434","±145","2,188","±474","439","±143","1,810","±331"
"        2 vehicles available","1,946","±432","42","±29","247","±139","438","±136","401","±196","4,341","±672","1,175","±292","1,575","±349","652","±205","619","±191","272","±104","626","±228"
"        3 vehicles available","771","±299","0","±14","20","±33","32","±34","127","±107","825","±200","440","±136","288","±128","264","±161","159","±80","113","±81","118","±118"
"        4 or more vehicles available","50","±45","0","±14","0","±21","53","±58","0","±32","146","±79","59","±47","0","±32","38","±45","26","±29","0","±21","0","±32"
"    4-or-more-person household:","6,310","±422","336","±91","1,081","±268","1,442","±203","2,818","±319","23,455","±1,026","4,124","±401","6,445","±549","1,991","±271","6,610","±440","1,113","±207","4,901","±435"
"        No vehicle available","618","±169","80","±59","153","±110","358","±128","550","±166","5,142","±687","466","±258","925","±267","48","±49","2,042","±321","14","±20","1,668","±301"
"        1 vehicle available","2,014","±319","74","±42","333","±194","493","±139","1,783","±277","9,101","±737","831","±205","2,106","±430","470","±164","2,684","±393","434","±166","1,767","±382"
"        2 vehicles available","2,017","±314","131","±80","560","±319","449","±154","305","±92","6,289","±641","1,346","±269","1,828","±375","837","±250","1,194","±266","489","±147","957","±290"
"        3 vehicles available","1,058","±243","51","±38","18","±27","120","±64","166","±110","2,297","±545","846","±238","1,053","±235","444","±180","595","±152","93","±62","409","±185"
"        4 or more vehicles available","603","±210","0","±14","17","±30","22","±31","14","±25","626","±192","635","±178","533","±220","192","±129","95","±61","83","±68","100","±74"
